Query ID,Query Text,Answer Chapter,Note,Result 1,Score 1,Result 2,Score 2,Result 3,Score 3,Result 4,Score 4,Result 5,Score 5,Result 6,Score 6,Result 7,Score 7,Result 8,Score 8,Result 9,Score 9,Result 10,Score 10
1,How do I install a C compiler on my computer?,Set up Visual Studio,,1.3,1,Set up Visual Studio Code,3,What about programming?,1,Principle of using this textbook ,0,1.1,0,,,,,,,,,,
2,What is the difference between double and float?,2.2,,2.2,3,2.1,1,2.3,1,2.5,1,2.4,1,,,,,,,,,,
3,how do i compare if two variables are equivalent?,3.1,,3.2,2,14.4,2,3.1,3,10.3,2,5.4,0,,,,,,,,,,
4,How do I write a while loop?,4.1,,4.1,4,4.6,1,,,,,,,,,,,,,,,,
5,What is the difference between while and do-while loops?,,,,,,,,,,,,,,,,,,,,,,
6,Why do I need pointers?,,,,,,,,,,,,,,,,,,,,,,
7,What is the difference between & and * in pointers?,,,,,,,,,,,,,,,,,,,,,,
8,How do I pass a pointer to a function?,,,,,,,,,,,,,,,,,,,,,,
9,What is the difference between void and int return types in functions?,,,,,,,,,,,,,,,,,,,,,,
10,How do i print a string?,,,,,,,,,,,,,,,,,,,,,,
11,how do i take string as an input,,,,,,,,,,,,,,,,,,,,,,
12,How do I destroy dynamically allocated memory?,,,,,,,,,,,,,,,,,,,,,,
13,How do I use structures to store complex data?,,,,,,,,,,,,,,,,,,,,,,
14,What is the purpose of the return statement?,,,,,,,,,,,,,,,,,,,,,,
15,How do I create and use multi-dimensional arrays?,,,,,,,,,,,,,,,,,,,,,,
16,How do I debug a C program?,,,,,,,,,,,,,,,,,,,,,,
17,What is the difference between local and global variables?,,,,,,,,,,,,,,,,,,,,,,
18,why do we need recursion,,,,,,,,,,,,,,,,,,,,,,
19,How do I implement linked lists?,,,,,,,,,,,,,,,,,,,,,,
20,What are the best practices for writing clean and efficient C code?,,,,,,,,,,,,,,,,,,,,,,
21,how to i prevent changes to a variable,,,,,,,,,,,,,,,,,,,,,,
22,how do i add two strings,,,,,,,,,,,,,,,,,,,,,,
23,what happens to a variable when it is passed to a function,,,,,,,,,,,,,,,,,,,,,,
24,what is the answer to the question that requires merging two linked list,,,,,,,,,,,,,,,,,,,,,,
25,how do i delete a string in a string,,,,,,,,,,,,,,,,,,,,,,
26,how to detect copying,,,,,,,,,,,,,,,,,,,,,,
