Query ID,Query Text,Answer Chapter,Note,Result 1,Score 1,Result 2,Score 2,Result 3,Score 3,Result 4,Score 4,Result 5,Score 5,Result 6,Score 6,Result 7,Score 7,Result 8,Score 8,Result 9,Score 9,Result 10,Score 10
1,How do I install a C compiler on my computer?,Set up Visual Studio Code, ,1.3,1,1.4,0,10.3,0,4.2,0,6.1,0,10.2,0,10.5,0,11.4,0,12.3,0,13.3,0
2,What is the difference between double and float?,2.2, ,2.2,3,,,,,,,,,,,,,,,,,,
3,how do i compare if two variables are equivalent?,3.1, ,1.2,0,2.2,0,6.1,0,7.2,0,7.3,0,9.1,0,10.1,0,13.3,0,2.3,0,3.2,2
4,How do I write a while loop?,, ,1.2,,1.3,,4.2,,4.3,,4.6,,5.1,,9.1,,What about programming?,,10.1,,10.5,
5,What is the difference between while and do-while loops?,, ,,,,,,,,,,,,,,,,,,,,
6,Why do I need pointers?,, ,,,,,,,,,,,,,,,,,,,,
7,What is the difference between & and * in pointers?,, ,,,,,,,,,,,,,,,,,,,,
8,How do I pass a pointer to a function?,, ,,,,,,,,,,,,,,,,,,,,
10,What is the difference between void and int return types in functions?,, ,,,,,,,,,,,,,,,,,,,,
11,How do i print a string?,, ,,,,,,,,,,,,,,,,,,,,
12,how do i take string as an input,, ,,,,,,,,,,,,,,,,,,,,
13,How do I destroy dynamically allocated memory?,, ,,,,,,,,,,,,,,,,,,,,
14,How do I use structures to store complex data?,, ,,,,,,,,,,,,,,,,,,,,
15,What is the purpose of the return statement?,, ,,,,,,,,,,,,,,,,,,,,
16,How do I create and use multi-dimensional arrays?,, ,,,,,,,,,,,,,,,,,,,,
17,How do I debug a C program?,, ,,,,,,,,,,,,,,,,,,,,
18,What is the difference between local and global variables?,, ,,,,,,,,,,,,,,,,,,,,
19,why do we need recursion,, ,,,,,,,,,,,,,,,,,,,,
20,How do I implement linked lists?,, ,,,,,,,,,,,,,,,,,,,,
21,What are the best practices for writing clean and efficient C code?,, ,,,,,,,,,,,,,,,,,,,,
22,how to i prevent changes to a variable,, ,,,,,,,,,,,,,,,,,,,,
23,how do i add two strings,, ,,,,,,,,,,,,,,,,,,,,
24,what happens to a variable when it is passed to a function,, ,,,,,,,,,,,,,,,,,,,,
25,what is the answer to the question that requires merging two linked list,, ,,,,,,,,,,,,,,,,,,,,
26,how do i delete a string in a string,, ,,,,,,,,,,,,,,,,,,,,
