Query ID,Query Text,Answer Chapter,Note,Result 1,Score 1,Result 2,Score 2,Result 3,Score 3,Result 4,Score 4,Result 5,Score 5,Result 6,Score 6,Result 7,Score 7,Result 8,Score 8,Result 9,Score 9,Result 10,Score 10
1,pointer,6.2,I wonder if captial entire word will improve accuracy,6.6,2,6.2,3,6.3,2,10.1,1,13.3,1,,,,,,,,,,
2,Elon Musk ,  chapter 7.1. and 9,sentence segmentation issue: 1.3 Robert C. Martin [1].,7.1,3,9,3,2.1,0,3.2,0,1.3,0,,,,,,,,,,
3,email,Priciple… or Snefru…,Semantic Performs horrible; email is close to for example; correct document wrong sentence,7.1,0,6.3,0,2.3,0,Principle of using this textbook,3,8.1,0,,,,,,,,,,
4,Fig. 2.1,2.1,"Fig.2.1 Fig 2.1 ""Fig. 2.1"" and Keyword failed",9.3,0,Set up Visual Studio Code,0,More extensions in VS Code,1,2.5,1,2.1,3,,,,,,,,,,
5,empty linked list,13.3 or 13.4,,13.3,3,13.4,3,13.5,2,6.3,2,,,,,,,,,,,,
6,binary search,15.2,,15.2,3,15,2,15.1,1,1.2,0,,,,,,,,,,,,
7,hello world,1.4,,1.4,3,10.3,2,10.2,1,10.1,1,Principle of using this book,2,,,,,,,,,,
8,declare variable,2.2,,2.2,3,10.4,0,7.1,1,6.4,2,4.6,2,,,,,,,,,,
9,logical operators,chapter 3.2,is relational operator the same thing?,3.2,3,3.1,1,2.3,1,4.3,2,4.5,1,,,,,,,,,,
10,arithmetic operators,chapter 2.3,,2.4,2,2.3,3,3.1,2,1.1,1,2.5,2,,,,,,,,,,
11,for loop,4.3,,4.3,3,6.5,1,4.6,2,4.2,1,4,1,,,,,,,,,,
12,if else,3.1,,3.1,3,3.3,2,3,2,3.4,1,14.3,0,,,,,,,,,,
13,concatenate,10.3,,10.3,3,11.3,0,8.1,1,6.5,0,4.3,0,,,,,,,,,,
14,pointer,6.2,,6.6,2,6.2,3,6.3,3,10.1,1,13.3,1,,,,,,,,,,
15,question 11 winter 2017 ,chapter 10.5,,15.3,1,3.4,1,11.4,1,10.5,3,6.6,1,,,,,,,,,,
16,input string is longer than the array,chapter 10.2,,10.2,3,7.1,1,11.3,1,7.1,,,,,,,,,,,,,
17,avoid buffer overflow,chapter 10.2,,10.2,3,10.3,2,8.1,0,13.2,0,10.2,0,,,,,,,,,,
18,tested in isolation,chapter 5.4,,5.4,3,10.2,0,6.5,2,1.3,0,5.1,2,,,,,,,,,,
19,print pattern,"chapter 4.4, 5.1, 11.2",,4.4,3,5.1,3,11.2,3,4.5,25,,,,,,,,,,,,
20,recursion function,11.1,,11,2,11.2,2,11.1,3,11.3,2,11.4,1,,,,,,,,,,
21,binary representation,1.2,,1.2,3,2.2,2,,,,,,,,,,,,,,,,
22,dynamically allocation for data structure,", chapter 12.2",Score is assigned based on that emphasis should be on dynamica allocation rather than data structure,12.2,3,12.3,1,12,0,12.1,0,9.3,1,,,,,,,,,,
23,passing head by value,13.3,,13.3,3,13.5,1,13.4,1,13.2,1,,,,,,,,,,,,
24,selection sort,14.2,,14.4,2,14,2,14.2,3,14.3,1,13.3,0,,,,,,,,,,
25,set up vs code,Set Up Visual Studio Code,"document 5 results if top result is in, or keep on documenting",Set Up Visual Studio Code,3,1.3,2,8.1,0,6.5,0,What about programming,0,,,,,,,,,,
