Query ID,Query Text,Answer Chapter,Note,Result 1,Score 1,Result 2,Score 2,Result 3,Score 3,Result 4,Score 4,Result 5,Score 5,Result 6,Score 6,Result 7,Score 7,Result 8,Score 8,Result 9,Score 9,Result 10,Score 10
1,How do I install a C compiler on my computer?,Set up Visual Studio Code, ,1.3,1,1.4,0,10.3,0,4.2,0,6.1,0,10.2,0,10.5,0,11.4,0,12.3,0,13.3,0
2,What is the difference between double and float?,2.2, ,2.2,3,,,,,,,,,,,,,,,,,,
3,how do i compare if two variables are equivalent?,3.1, ,1.2,0,2.2,0,6.1,0,7.2,0,7.3,0,9.1,0,10.1,0,13.3,0,2.3,0,3.2,2
4,How do I write a while loop?,4.1, ,1.2,0,1.3,0,4.2,1,4.3,1,4.6,1,5.1,0,9.1,0,What about programming?,0,10.1,0,10.5,0
5,What is the difference between while and do-while loops?,4.2, ,4.2,3,4.3,0,4.6,1,8.1,0,9.1,0,,,,,,,,,,
6,Why do I need pointers?,6.1, ,1.2,0,10.1,0,10.3,0,4.2,0,5.1,0,6.1,3,,,,,,,,
7,What is the difference between & and * in pointers?,7.3 6.2, ,10.1,0,13.3,0,7.2,0,8.1,0,9.1,0,14.4,0,,,,,,,,
8,How do I pass a pointer to a function?,6.3,,1.3,0,10.1,0,13.3,0,2.4,0,5.1,0,6.1,2,6.2,0,6.3,3,,,,
9,What is the difference between void and int return types in functions?,5.2, ,5.4,0,8.1,0,9.1,0,14.4,0,2.5,0,7.1,0,7.4,0,,,,,,
10,How do i print a string?,10.2, ,1.2,0,10.1,1,10.4,0,11.3,0,4.5,0,,,,,,,,,,
11,how do i take string as an input,10.2, ,10,2,11.2,0,3.1,0,4.3,0,7.2,0,,,,,,,,,,
12,How do I destroy dynamically allocated memory?,8.1, ,13.2,2,8.1,3,13.4,2,13.5,1,,,,,,,,,,,,
13,How do I use structures to store complex data?,12.1, ,1.1,0,10.3,0,13.4,0,2.4,0,6.1,0,,,,,,,,,,
14,What is the purpose of the return statement?,6.1, ,2.2,0,,,,,,,,,,,,,,,,,,
15,How do I create and use multi-dimensional arrays?,9.1 9.3, ,12.1,0,13.3,0,4.4,0,5.1,0,7.1,0,,,,,,,,,,
16,What is the difference between local and global variables?,6.4, ,10.1,0,8.1,0,,,,,,,,,,,,,,,,
17,why do we need recursion,11.1, ,1.2,0,1.3,0,11.1,3,13.1,0,4.2,0,,,,,,,,,,
18,How do I implement linked lists?,13.2, ,10.3,0,13.1,2,13.2,3,13.3,2,14.1,0,,,,,,,,,,
19,What are the best practices for writing clean and efficient C code?,3.1, ,,,,,,,,,,,,,,,,,,,,
20,how to i prevent changes to a variable,10.3, ,10.1,1,2.1,2,4.3,0,6.3,0,7.1,0,,,,,,,,,,
21,how do i add two strings,10.3, ,10.1,1,2.1,0,4.3,0,6.3,0,7.1,0,,,,,,,,,,
22,what happens to a variable when it is passed to a function,6.1 5.3, ,10.2,0,13.3,0,5.4,1,6.1,3,6.3,0,,,,,,,,,,
23,what is the answer to the question that requires merging two linked list,13.5, ,,,,,,,,,,,,,,,,,,,,
24,how do i delete a string in a string,10.5, ,1.2,0,10,1,10.2,0,10.3,0,11.3,0,,,,,,,,,,
25,how to detect copying,10.5,,,,,,,,,,,,,,,,,,,,,
