Query ID,Query Text,Answer Chapter,Note,Result 1,Score 1,Result 2,Score 2,Result 3,Score 3,Result 4,Score 4,Result 5,Score 5,Result 6,Score 6,Result 7,Score 7,Result 8,Score 8,Result 9,Score 9,Result 10,Score 10,Precision@5,MRR,DCG@5,NDCG@5
1,pointer,6.2,12.2 pointer to data structure was not returned by semantic search ,10.1,1.0,12.2,2.0,13.3,1.0,6,2.0,6.1,2.0,6.2,3.0,6.3,2.0,7.2,1.0,,2.0,,1.0,0.6,0.16666666666666666,4.3969182377587845,0.8656392231763174
2,Elon Musk ,  chapter 7.1. and 9,only two results,7.1,3.0,9,3.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.4,1.0,4.892789260714372,1.0
3,email,Priciple… or Snefru…, ,Principle of,3.0,Snefru: Learning Programming with C,3.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.4,1.0,4.892789260714372,1.0
4,fig. 2.1,2.1,no result,11.2,0.0,9.3,0.0,1.3,0.0,10.4,0.0,11.1,0.0,11.3,0.0,13.1,0.0,3.2,2.0,6.2,0.0,6.3,0.0,0.0,0.0,0.0,0.0
5,empty linked list,13.3 or 13.4,,13.3,3.0,13.4,3.0,13.5,2.0,,0.0,,0.0,,,,,,,,,,,0.6,1.0,5.892789260714372,1.0
6,binary search,15.2,,15,2.0,15.2,3.0,12.2,0.0,,0.0,,0.0,,,,,,,,,,,0.4,0.5,3.8927892607143724,0.9134015924715543
7,hello world,1.4,,1.4,3.0,10.1,1.0,10.3,2.0,10.5,1.0,Principle of using this textbook,2.0,,,,,,,,,,,0.6,1.0,5.835311926113934,0.9598517299258538
8,variable declaration,2.2,,10.1,0.0,12.1,1.0,2.1,1.0,2.2,3.0,4.3,1.0,,,,,,,,,,,0.2,0.25,2.8098122350261785,0.6159699112686031
10,logical operators,chapter 3.2,,3.2,3.0,1.1,0.0,4.3,2.0,4.5,1.0,what about programming,0.0,,,,,,,,,,,0.4,1.0,4.430676558073393,0.9304509197357168
11,arithmetic operators,chapter 2.3,,2.3,3.0,2.4,2.0,3.1,2.0,1.1,1.0,9.4,0.0,,,,,,,,,,,0.6,1.0,5.692536065216308,1.0
12,for loop,4.2,,4.1,1.0,4.2,1.0,4.3,3.0,4.4,1.0,4.5,1.0,,,,,,,,,,,0.2,0.3333333333333333,3.9484591188793923,0.7979168917078058
13,if else,3.1,awfully bad,3.3,2.0,1.3,0.0,10.2,0.0,10.3,0.0,10.5,0.0,11.1,0.0,11.2,0.0,11.3,0.0,11.4,0.0,13.5,0.0,0.2,0.0,2.0,1.0
14,concatenate,10.3,,10.3,3.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.2,1.0,3.0,1.0
15,pointer,6.2,,10.1,1.0,12.2,1.0,13.3,1.0,6,1.0,6.1,2.0,6.3,3.0,,,,,,,,,0.2,0.16666666666666666,3.335311926113934,0.8447122853992027
16,question 11 winter 2017 ,chapter 10.5,keyword out performs semantic; this type of question semantic's performance varies,10.5,3.0,11.4,1.0,13.5,1.0,14.4,1.0,2.6,1.0,,,,,,,,,,,0.2,1.0,4.948459118879392,1.0
17,input string is longer than the array,chapter 10.2,,10.2,3.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.2,1.0,3.0,1.0
18,avoid buffer overflow,chapter 10.2,,10.2,3.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.2,1.0,3.0,1.0
19,tested in isolation,chapter 5.4,,6.5,2.0,5.1,1.0,5.4,3.0,,0.0,,0.0,,,,,,,,,,,0.4,0.3333333333333333,4.130929753571458,0.8675034925694372
20,print pattern,"chapter 4.4, 5.1, 11.2",,11.2,3.0,4.4,3.0,4.5,2.0,5.1,3.0,,0.0,,,,,,,,,,,0.8,1.0,7.184818934934552,0.9904436061045989
21,recursion function,11.1,,11,2.0,11.1,3.0,11.2,2.0,11.3,2.0,15.2,2.0,,,,,,,,,,,1.0,0.5,6.527847991330241,0.946487658153176
22,binary representation,1.2,,1.2,3.0,2.2,2.0,1.1,1.0,,0.0,,0.0,,,,,,,,,,,0.4,1.0,4.7618595071429155,1.0
23,dynamically allocation for data structure,", chapter 12.2",this is a case where keyword search returned secondary documents are more relevant,12.2,3.0,13.2,1.0,13.3,1.0,10.5,0.0,13.5,0.0,,,,,,,,,,,0.2,1.0,4.130929753571458,1.0
24,passing head by value,13.3,,13.3,3.0,12.3,0.0,13.4,1.0,5.5,0.0,7.4,0.0,,,,,,,,,,,0.2,1.0,3.5,0.9639404333166532
25,selction sort,14.2,,14,2.0,14.2,3.0,14.4,2.0,,0.0,,0.0,,,,,,,,,,,0.6,0.5,4.892789260714372,0.9298593499260985
26,set up vs code,Set Up Visual Studio Code,,2.4,0.0,3.1,0.0,3.2,0.0,More Extension in VS Code,0.0,Priinciple of using this textbook,0.0,Set up Visual Studio Code,3.0,10.3,0.0,10.5,0.0,,,,,0.0,0.16666666666666666,0.0,0.0
Average,N/A,,,,,,,,,,,,,,,,,,,,,,,0.368,0.6766666666666667,4.043912697207352,0.8650470837502007
