Query ID,Query Text,Answer Chapter,Note,Result 1,Score 1,Result 2,Score 2,Result 3,Score 3,Result 4,Score 4,Result 5,Score 5,Result 6,Score 6,Precision@5,MRR,DCG@5,NDCG@5
1,pointer,6.2,I wonder if captial entire word will improve accuracy,6.6,2.0,6.2,3.0,6.3,2.0,10.1,1.0,13.3,1.0,,,0.6,0.5,5.710318626022307,0.9392915547644913
2,Elon Musk ,  chapter 7.1. and 9,sentence segmentation issue: 1.3 Robert C. Martin [1].,7.1,3.0,9,3.0,2.1,0.0,3.2,0.0,1.3,0.0,,,0.4,1.0,4.892789260714372,1.0
3,email,Priciple… or Snefru…,Semantic Performs horrible; email is close to for example; correct document wrong sentence,7.1,0.0,6.3,0.0,2.3,0.0,Principle of using this textbook,3.0,8.1,0.0,,,0.2,0.25,1.2920296742201793,0.4306765580733931
4,Fig. 2.1,2.1,"Fig.2.1 Fig 2.1 ""Fig. 2.1"" and Keyword failed",9.3,0.0,Set up Visual Studio Code,0.0,More extensions in VS Code,1.0,2.5,1.0,2.1,3.0,,,0.2,0.2,2.0912349797770178,0.506238329995568
5,empty linked list,13.3 or 13.4,,13.3,3.0,13.4,3.0,13.5,2.0,6.3,2.0,,0.0,,,0.8,1.0,6.754142376861158,1.0
6,binary search,15.2,,15.2,3.0,15,2.0,15.1,1.0,1.2,0.0,,0.0,,,0.4,1.0,4.7618595071429155,1.0
7,hello world,1.4,,1.4,3.0,10.3,2.0,10.2,1.0,10.1,1.0,Principle of using this book,2.0,,,0.6,1.0,5.966241679685392,0.9813883936133462
8,declare variable,2.2,,2.2,3.0,10.4,0.0,7.1,1.0,6.4,2.0,4.6,2.0,,,0.6,1.0,5.135058730615869,0.9020687215304878
9,logical operators,chapter 3.2,is relational operator the same thing?,3.2,3.0,3.1,1.0,2.3,1.0,4.3,2.0,4.5,1.0,,,0.4,1.0,5.379135676952785,0.9641083996695681
10,arithmetic operators,chapter 2.3,,2.4,2.0,2.3,3.0,3.1,2.0,1.1,1.0,2.5,2.0,,,0.8,0.5,6.0971714332568485,0.9365760603063332
11,for loop,4.3,,4.3,3.0,6.5,1.0,4.6,2.0,4.2,1.0,4,1.0,,,0.4,1.0,5.448459118879392,0.9765333163605167
12,if else,3.1,,3.1,3.0,3.3,2.0,3,2.0,3.4,1.0,14.3,0.0,,,0.6,1.0,5.692536065216308,1.0
13,concatenate,10.3,,10.3,3.0,11.3,0.0,8.1,1.0,6.5,0.0,4.3,0.0,,,0.2,1.0,3.5,0.9639404333166532
14,pointer,6.2,,6.6,2.0,6.2,3.0,6.3,3.0,10.1,1.0,13.3,1.0,,,0.6,0.5,6.210318626022307,0.9254878899399764
15,question 11 winter 2017 ,chapter 10.5,,15.3,1.0,3.4,1.0,11.4,1.0,10.5,3.0,6.6,1.0,,,0.2,0.25,3.809812235026179,0.7698986984637216
16,input string is longer than the array,chapter 10.2,,10.2,3.0,7.1,1.0,11.3,1.0,7.1,0.0,,0.0,,,0.2,1.0,4.130929753571458,1.0
17,avoid buffer overflow,chapter 10.2,,10.2,3.0,10.3,2.0,8.1,0.0,13.2,0.0,10.2,0.0,,,0.4,1.0,4.2618595071429155,1.0
18,tested in isolation,chapter 5.4,,5.4,3.0,10.2,0.0,6.5,2.0,1.3,0.0,5.1,2.0,,,0.6,1.0,4.773705614469083,0.9072278740982787
19,print pattern,"chapter 4.4, 5.1, 11.2",,4.4,3.0,5.1,3.0,11.2,3.0,4.5,2.0,,0.0,,,0.8,1.0,7.254142376861158,1.0
20,recursion function,11.1,,11,2.0,11.2,2.0,11.1,3.0,11.3,2.0,11.4,1.0,,,0.8,0.3333333333333333,6.010065430524243,0.9231958564263254
21,binary representation,1.2,,1.2,3.0,2.2,2.0,,0.0,,0.0,,0.0,,,0.4,1.0,4.2618595071429155,1.0
22,dynamically allocation for data structure,", chapter 12.2",Score is assigned based on that emphasis should be on dynamica allocation rather than data structure,12.2,3.0,12.3,1.0,12,0.0,12.1,0.0,9.3,1.0,,,0.2,1.0,4.017782560805999,0.9726097514324383
23,passing head by value,13.3,,13.3,3.0,13.5,1.0,13.4,1.0,13.2,1.0,,0.0,,,0.2,1.0,4.561606311644851,1.0
24,selection sort,14.2,,14.4,2.0,14,2.0,14.2,3.0,14.3,1.0,13.3,0.0,,,0.6,0.3333333333333333,5.192536065216308,0.9121656860366328
25,set up vs code,Set Up Visual Studio Code,"document 5 results if top result is in, or keep on documenting",Set Up Visual Studio Code,3.0,1.3,2.0,8.1,0.0,6.5,0.0,What about programming,0.0,,,0.4,1.0,4.2618595071429155,1.0
Average,N/A,,,,,,,,,,,,,,,0.4640000000000001,0.7946666666666665,4.8586981849965944,0.9204563009611091
