Query ID,Query Text,Answer Chapter,Note,Result 1,Score 1,Result 2,Score 2,Result 3,Score 3,Result 4,Score 4,Result 5,Score 5,Result 6,Score 6,Result 7,Score 7,Result 8,Score 8,Result 9,Score 9,Result 10,Score 10,Precision@5,MRR,DCG@5,NDCG@5
1,How do I install a C compiler on my computer?,Set up Visual Studio,,1.3,1.0,Set up Visual Studio Code,3.0,What about programming?,1.0,Principle of using this textbook ,0.0,1.1,0.0,,,,,,,,,,,0.2,0.5,3.3927892607143724,0.8213137146137828
2,What is the difference between double and float?,2.2,,2.2,3.0,2.1,1.0,2.3,1.0,2.5,1.0,2.4,1.0,,,,,,,,,,,0.2,1.0,4.948459118879392,1.0
3,how do i compare if two variables are equivalent?,3.1,,3.2,2.0,14.4,2.0,3.1,3.0,10.3,2.0,5.4,0.0,,,,,,,,,,,0.8,0.3333333333333333,5.623212623289701,0.9183435182214243
4,How do I write a while loop?,4.1,,4.1,3.0,4.6,1.0,6.5,1.0,4.3,1.0,4.0,1.0,,,,,,,,,,,0.2,1.0,4.948459118879392,1.0
5,What is the difference between while and do-while loops?,4.2,,4.2,3.0,4.1,1.0,6.5,2.0,4,0.0,4.5,2.0,,,,,,,,,,,0.6,1.0,5.404635368040541,0.9494248795479827
6,Why do I need pointers?,6.1,semantic search fails to return the document,6.6,1.0,6.2,2.0,6.3,1.0,8.1,1.0,13.3,1.0,7.3,1.0,7.2,1.0,,,,,,,0.2,0.0,3.5793888724508496,0.9065280314885752
7,What is the difference between & and * in pointers?,7.3 or 6.2,,7.3,3.0,6.2,3.0,6.3,2.0,8.1,2.0,6.6,1.0,,,,,,,,,,,0.8,1.0,7.1409951840957,1.0
8,How do I pass a pointer to a function?,6.3,,7.3,2.0,6.6,0.0,6.3,3.0,13.5,1.0,6.5,2.0,,,,,,,,,,,0.6,0.3333333333333333,4.704382172542476,0.8264123614935264
9,What is the difference between void and int return types in functions?,5.2,,5.1,2.0,15.2,2.0,6.5,1.0,5.2,3.0,6.1,0.0,,,,,,,,,,,0.6,0.25,5.053889181363094,0.8878097781838213
10,How do i print a string?,10.2,,10.2,3.0,1.4,2.0,7.4,1.0,5.1,1.0,,,,,,,,,,,,,0.4,1.0,5.192536065216308,1.0
11,how do i take string as an input,10.2,,10.2,3.0,14.4,1.0,11.3,1.0,6.5,1.0,10.3,1.0,,,,,,,,,,,0.2,1.0,4.948459118879392,1.0
12,How do I destroy dynamically allocated memory?,8.1,,13.4,2.0,8.1,3.0,13.2,2.0,8,2.0,9.3,2.0,,,,,,,,,,,1.0,0.5,6.527847991330241,0.946487658153176
13,How do I use structures to store complex data?,12.1,,12.1,3.0,12,2.0,12.3,1.0,13.3,2.0,12.2,2.0,,,,,,,,,,,0.8,1.0,6.3969182377587845,0.982619653523767
14,What is the purpose of the return statement?,6.1,,6.1,3.0,5.4,1.0,15.2,2.0,5.1,1.0,1.4,2.0,,,,,,,,,,,0.6,1.0,5.835311926113934,0.9598517299258538
15,How do I create and use multi-dimensional arrays?, 9.1 or 9.3,,9.1,3.0,8.1,1.0,9,2.0,9.3,3.0,9.4,2.0,,,,,,,,,,,0.8,1.0,6.696665042260721,0.9377775603567716
16,What is the difference between local and global variables?,6.4,,6.4,3.0,8.1,1.0,12.1,1.0,6.6,1.0,6.0,1.0,,,,,,,,,,,0.2,1.0,4.948459118879392,1.0
17,why do we need recursion,11.1,,11.1,3.0,11,2.0,15.2,1.0,11.2,1.0,15.3,1.0,,,,,,,,,,,0.4,1.0,5.57938887245085,1.0
18,How do I implement linked lists?,13.2,,13.0,2.0,13.1,13.2,13.3,2.0,13.2,3.0,14.4,1.0,,,,,,,,,,,0.6,0.25,13.00715522859796,0.7500812433491403
19,What are the best practices for writing clean and efficient C code?,1.3,,1.3,3.0,Set up Visual Studio Code,1.0,1.4,1.0,4.3,2.0,6.6,0.0,,,,,,,,,,,0.4,1.0,4.9922828697182435,0.9614344141315612
20,how to i prevent changes to a variable,10.3,,2.1,2.0,10.3,3.0,6.4,1.0,Set up Visual Studio Code,0.0,7.1,0.0,,,,,,,,,,,0.4,0.5,4.392789260714372,0.9224945116765986
21,how do i add two strings,10.3,,11.3,1.0,10.3,3.0,10.2,1.0,10.5,1.0,1.4,1.0,,,,,,,,,,,0.2,0.5,4.210318626022307,0.850834274847108
22,what happens to a variable when it is passed to a function, 6.1 5.3,,6.1,3.0,5.3,3.0,2.2,1.0,6,1.0,8.1,2.0,,,,,,,,,,,0.6,1.0,6.5971714332568485,0.983138327839355
23,what is the answer to the question that requires merging two linked list,13.5,,13.5,3.0,13.3,1.0,13.4,1.0,13,1.0,13.2,1.0,,,,,,,,,,,0.2,1.0,4.948459118879392,1.0
24,how do i delete a string in a string,10.5,,10.5,3.0,11.3,0.0,10.2,0.0,14.4,0.0,13.4,0.0,,,,,,,,,,,0.2,1.0,3.0,1.0
25,how to detect copying,10.5,,10.5,3.0,8.1,0.0,10.3,0.0,13.3,0.0,13.3,0.0,,,,,,,,,,,0.2,1.0,3.0,1.0
Average,N/A,,,,,,,,,,,,,,,,,,,,,,,0.45599999999999985,0.7666666666666666,5.40279895241337,0.9441820662940978
