Query ID,Query Text,Answer Chapter,Note,Result 1,Score 1,Result 2,Score 2,Result 3,Score 3,Result 4,Score 4,Result 5,Score 5,Result 6,Score 6,Result 7,Score 7,Result 8,Score 8,Result 9,Score 9,Result 10,Score 10
1,pointer,6.2,12.2 pointer to data structure was not returned by semantic search ,10.1,1,12.2,2,13.3,1,6,2,6.1,2,6.2,3,6.3,2,7.2,1,,2,,1
2,Elon Musk ,  chapter 7.1. and 9,only two results,7.1,3,9,3,,0,,0,,0,,,,,,,,,,
3,email,Priciple… or Snefru…, ,Principle of,3,Snefru: Learning Programming with C,3,,0,,0,,0,,,,,,,,,,
4,fig. 2.1,2.1,no result,11.2,0,9.3,0,1.3,0,10.4,0,11.1,0,11.3,0,13.1,0,3.2,2,6.2,0,6.3,0
5,empty linked list,13.3 or 13.4,,13.3,3,13.4,3,13.5,2,,0,,0,,,,,,,,,,
6,binary search,15.2,,15,2,15.2,3,12.2,0,,0,,0,,,,,,,,,,
7,hello world,1.4,,1.4,3,10.1,1,10.3,2,10.5,1,Principle of using this textbook,2,,,,,,,,,,
8,variable declaration,2.2,,10.1,0,12.1,1,2.1,1,2.2,3,4.3,1,,,,,,,,,,
10,logical operators,chapter 3.2,,3.2,3,1.1,0,4.3,2,4.5,1,what about programming,0,,,,,,,,,,
11,arithmetic operators,chapter 2.3,,2.3,3,2.4,2,3.1,2,1.1,1,9.4,0,,,,,,,,,,
12,for loop,4.2,,4.1,1,4.2,1,4.3,3,4.4,1,4.5,1,,,,,,,,,,
13,if else,3.1,awfully bad,3.3,2,1.3,0,10.2,0,10.3,0,10.5,0,11.1,0,11.2,0,11.3,0,11.4,0,13.5,0
14,concatenate,10.3,,10.3,3,,0,,0,,0,,0,,,,,,,,,,
15,pointer,6.2,,10.1,1,12.2,1,13.3,1,6,1,6.1,2,6.3,3,,,,,,,,
16,question 11 winter 2017 ,chapter 10.5,keyword out performs semantic; this type of question semantic's performance varies,10.5,3,11.4,1,13.5,1,14.4,1,2.6,1,,,,,,,,,,
17,input string is longer than the array,chapter 10.2,,10.2,3,,0,,0,,0,,0,,,,,,,,,,
18,avoid buffer overflow,chapter 10.2,,10.2,3,,0,,0,,0,,0,,,,,,,,,,
19,tested in isolation,chapter 5.4,,6.5,2,5.1,1,5.4,3,,0,,0,,,,,,,,,,
20,print pattern,"chapter 4.4, 5.1, 11.2",,11.2,3,4.4,3,4.5,2,5.1,3,,0,,,,,,,,,,
21,recursion function,11.1,,11,2,11.1,3,11.2,2,11.3,2,15.2,2,,,,,,,,,,
22,binary representation,1.2,,1.2,3,2.2,2,1.1,1,,0,,0,,,,,,,,,,
23,dynamically allocation for data structure,", chapter 12.2",this is a case where keyword search returned secondary documents are more relevant,12.2,3,13.2,1,13.3,1,10.5,0,13.5,0,,,,,,,,,,
24,passing head by value,13.3,,13.3,3,12.3,0,13.4,1,5.5,0,7.4,0,,,,,,,,,,
25,selction sort,14.2,,14,2,14.2,3,14.4,2,,0,,0,,,,,,,,,,
26,set up vs code,Set Up Visual Studio Code,,2.4,0,3.1,0,3.2,0,More Extension in VS Code,0,Priinciple of using this textbook,0,Set up Visual Studio Code,3,10.3,0,10.5,0,,,,
