Query ID,Query Text,Answer Chapter,Note,Result 1,Score 1,Result 2,Score 2,Result 3,Score 3,Result 4,Score 4,Result 5,Score 5,Result 6,Score 6,Result 7,Score 7,Result 8,Score 8,Result 9,Score 9,Result 10,Score 10
1,How do I install a C compiler on my computer?,Set up Visual Studio,,1.3,1,Set up Visual Studio Code,3,What about programming?,1,Principle of using this textbook ,0,1.1,0,,,,,,,,,,
2,What is the difference between double and float?,2.2,,2.2,3,2.1,1,2.3,1,2.5,1,2.4,1,,,,,,,,,,
3,how do i compare if two variables are equivalent?,3.1,,3.2,2,14.4,2,3.1,3,10.3,2,5.4,0,,,,,,,,,,
4,How do I write a while loop?,4.1,,4.1,3,4.6,1,6.5,1,4.3,1,4,1,,,,,,,,,,
5,What is the difference between while and do-while loops?,4.2,,4.2,3,4.1,1,6.5,2,4,0,4.5,2,,,,,,,,,,
6,Why do I need pointers?,6.1,semantic search fails to return the document,6.6,1,6.2,2,6.3,1,8.1,1,13.3,1,7.3,1,7.2,1,,,,,,
7,What is the difference between & and * in pointers?,7.3 or 6.2,,7.3,3,6.2,3,6.3,2,8.1,2,6.6,1,,,,,,,,,,
8,How do I pass a pointer to a function?,6.3,,7.3,2,6.6,0,6.3,3,13.5,1,6.5,2,,,,,,,,,,
9,What is the difference between void and int return types in functions?,5.2,,5.1,2,15.2,2,6.5,1,5.2,3,6.1,0,,,,,,,,,,
10,How do i print a string?,10.2,,10.2,3,1.4,2,7.4,1,5.1,1,,,,,,,,,,,,
11,how do i take string as an input,10.2,,10.2,3,14.4,1,11.3,1,6.5,1,10.3,1,,,,,,,,,,
12,How do I destroy dynamically allocated memory?,8.1,,13.4,2,8.1,3,13.2,2,8,2,9.3,2,,,,,,,,,,
13,How do I use structures to store complex data?,12.1,,12.1,3,12,2,12.3,1,13.3,2,12.2,2,,,,,,,,,,
14,What is the purpose of the return statement?,6.1,,6.1,3,5.4,1,15.2,2,5.1,1,1.4,2,,,,,,,,,,
15,How do I create and use multi-dimensional arrays?, 9.1 or 9.3,,9.1,3,8.1,1,9,2,9.3,3,9.4,2,,,,,,,,,,
16,What is the difference between local and global variables?,6.4,,6.4,3,8.1,1,12.1,1,6.6,1,6,1,,,,,,,,,,
17,why do we need recursion,11.1,,11.1,3,11,2,15.2,1,11.2,1,15.3,1,,,,,,,,,,
18,How do I implement linked lists?,13.2,,13,2,13.1,13.2,13.3,2,13.2,3,14.4,1,,,,,,,,,,
19,What are the best practices for writing clean and efficient C code?,1.3,,1.3,3,Set up Visual Studio Code,1,1.4,1,4.3,2,6.6,0,,,,,,,,,,
20,how to i prevent changes to a variable,10.3,,2.1,2,10.3,3,6.4,1,Set up Visual Studio Code,0,7.1,0,,,,,,,,,,
21,how do i add two strings,10.3,,11.3,1,10.3,3,10.2,1,10.5,1,1.4,1,,,,,,,,,,
22,what happens to a variable when it is passed to a function, 6.1 5.3,,6.1,3,5.3,3,2.2,1,6,1,8.1,2,,,,,,,,,,
23,what is the answer to the question that requires merging two linked list,13.5,,13.5,3,13.3,1,13.4,1,13,1,13.2,1,,,,,,,,,,
24,how do i delete a string in a string,10.5,,10.5,3,11.3,0,10.2,0,14.4,0,13.4,0,,,,,,,,,,
25,how to detect copying,10.5,,10.5,3,8.1,0,10.3,0,13.3,0,13.3,0,,,,,,,,,,
