Query ID	Query Text	Answer Chapter	Result 1	Score 1	Result 2	Score 2	Result 3	Score 3	Result 4	Score 4	Result 5	Score 5	Result 6	Score 6	Result 7	Score 7	Result 8	Score 8	Result 9	Score 9	Result 10	Score 10
1	pointer			3		3		3		3		0		2		1		3		2		1
2	Elon Musk 	  chapter 7.1. and 9																				
3	salma email																					
4	email me																					
5	please email																					
6	reimplement																					
7	fig 2.1																					
8	node																					
9	list																					
10	linkedlist																					
11	search																					
12	compiler																					
13	installation																					
14	data type																					
15	variable declaration																					
16	int float difference																					
17	logical operators	chapter 3.2																				
18	arithmetic operators	chapter 2.3																				
19	for loop																					
20	if else																					
21	enumerations																					
22	sorting																					
23	quick sort																					
24	debug																					
25	binary tree																					
26	question 10 winter 2017 	chapter 9.4																				
27	input string is longer than the array	chapter 10.2																				
28	avoid buffer overflow	chapter 10.2																				
29	tested in isolation	chapter 5.4																				
30	print pattern	"chapter 4.4, 5.1, 11.2"																				
31	print pattern recursively																					
32	binary representation	1.2																				
33	dynamically allocation for data structure	", chapter 12.2"																				
34	passing head by value	13.3																				
35	selction sort	14.2																				
36	set up vs code	Set Up Visual Studio Code	Set Up Visual Studio Code	3	1.3																	
